id,name,r,g,b,dynamic
0,others,0,0,0,false
1,obstacle,255,70,255,false
2,car,0,0,142,true
3,bike,60,20,222,true
4,person,220,20,60,true
5,arrow,0,230,0,false
6,traffic_light,250,170,30,false
7,traffic_sign,220,220,0,false
8,road,128,64,128,false
9,sidewalk,244,35,232,false
10,lane,255,255,255,false
11,crosswalk,128,0,128,false
12,road_paint,128,32,32,false
13,building,100,100,200,false
14,vegetation,147,253,194,false
15,sky,135,206,255,false
16,ego_vehicle,0,255,0,false
